Gx+D29A1:D482,Gy,Gz,Label,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,
"-13,19","-8,82","131,11",atas,,,,,,,,,,,,,,,,,34.69,-132.64,30.96,depan,,25.8,135.39,0.58,belakang
"-11,97","-8,58","129,71",atas,,,,,,,,,,,,,,,,,46.41,-121.74,33.86,depan,,6.69,126.75,4.52,belakang
"-13,07","-7,63","129,31",atas,,,,,,,,,,,,,,,,,38.72,-121.95,29.98,depan,,11.15,121.89,4.09,belakang
"-12,43","-8,67","129,25",atas,,,,,,,,,,,,,,,,,39.66,-123.76,36.64,depan,,3.82,117.59,-8.89,belakang
"-13,37","-8,37","129,56",atas,,,,,,,,,,,,,,,,,54.53,-115.18,34.78,depan,,-4.49,128.79,-1.62,belakang
"-13,40","-6,47","128,34",atas,,,,,,,,,,,,,,,,,28.98,-125.22,24.15,depan,,-5.53,117.28,-2.56,belakang
"-12,40","-7,60","128,58",atas,,,,,,,,,,,,,,,,,23.97,-128.18,19.88,depan,,-5.86,118.72,-2.53,belakang
"-12,58","-7,36","129,04",atas,,,,,,,,,,,,,,,,,30.72,-128.24,17.22,depan,,-4.43,128.18,1.86,belakang
"-12,27","-7,94","129,56",atas,,,,,,,,,,,,,,,,,12.58,-126.99,7.11,depan,,1.5,120.24,3.51,belakang
"-9,95","-10,96","131,08",atas,,,,,,,,,,,,,,,,,13.71,-129.89,8.4,depan,,0.55,120.85,0.79,belakang
"62,20","-24,31","107,21",atas,,,,,,,,,,,,,,,,,8.43,-130.5,7.21,depan,,2.53,120.09,4.46,belakang
"-5,25","-46,11","120,79",atas,,,,,,,,,,,,,,,,,13.74,-125.5,7.33,depan,,3.11,125.22,3.27,belakang
"-12,27","-9,31","130,20",atas,,,,,,,,,,,,,,,,,2.47,-130.69,2.63,depan,,4.37,121.62,-0.31,belakang
"-12,85","-8,40","128,67",atas,,,,,,,,,,,,,,,,,-3.3,-125.22,5.25,depan,,7.21,114.69,0.34,belakang
"-13,89","-8,40","128,89",atas,,,,,,,,,,,,,,,,,-4.64,-126.63,5.89,depan,,7.63,129.95,-4.15,belakang
"-9,25","-8,15","129,34",atas,,,,,,,,,,,,,,,,,4.82,-130.32,6.84,depan,,7.54,117.22,0.76,belakang
"-8,06","-11,73","128,40",atas,,,,,,,,,,,,,,,,,5.16,-129.92,9.22,depan,,9.71,118.56,-7.57,belakang
"-7,66","-10,08","129,71",atas,,,,,,,,,,,,,,,,,11.11,-131.6,8.52,depan,,7.45,127.69,-2.69,belakang
"-7,69","-10,29","129,62",atas,,,,,,,,,,,,,,,,,22.69,-137.01,0.89,depan,,9.5,122.9,-2.69,belakang
"-8,82","-9,47","129,50",atas,,,,,,,,,,,,,,,,,11.82,-126.53,0.92,depan,,9.04,117.25,-3.76,belakang
"-9,56","-9,95","129,92",atas,,,,,,,,,,,,,,,,,10.44,-123.85,4.92,depan,,9.04,132.92,2.38,belakang
"-9,92","-9,95","128,79",atas,,,,,,,,,,,,,,,,,7.76,-138.26,3.42,depan,,2.75,121.8,7.42,belakang
"-8,61","-10,44","130,08",atas,,,,,,,,,,,,,,,,,0.34,-118.63,-14.08,depan,,0.92,115.39,1.28,belakang
"-9,44","-9,44","130,75",atas,,,,,,,,,,,,,,,,,-1.8,-119.66,-13.59,depan,,-0.82,131.48,-1.22,belakang
"-10,11","-9,56","129,68",atas,,,,,,,,,,,,,,,,,-5.86,-121.98,-27.3,depan,,8.34,124.64,2.9,belakang
"-8,12","-9,13","130,84",atas,,,,,,,,,,,,,,,,,-0.89,-133.1,-16.67,depan,,10.99,121.62,1.13,belakang
"-24,27","-16,61","126,66",atas,,,,,,,,,,,,,,,,,-5.83,-119.63,-8.79,depan,,8.18,129.56,3.51,belakang
"-2,69","-11,27","136,09",atas,,,,,,,,,,,,,,,,,-0.27,-127.27,-2.17,depan,,6.14,124.85,15.21,belakang
"-10,78","-9,50","130,26",atas,,,,,,,,,,,,,,,,,4.67,-129.5,6.47,depan,,-0.27,114.14,14.23,belakang
"-10,20","-10,23","129,22",atas,,,,,,,,,,,,,,,,,-2.2,-123.54,5.37,depan,,1.47,123.63,7.27,belakang
"-10,41","-9,74","129,68",atas,,,,,,,,,,,,,,,,,1.07,-126.32,4.55,depan,,3.69,129.19,11.63,belakang
"-10,32","-11,05","129,86",atas,,,,,,,,,,,,,,,,,10.47,-136.73,3.91,depan,,6.02,116.61,11.48,belakang
"-10,20","-9,40","128,06",atas,,,,,,,,,,,,,,,,,5.28,-126.5,13.47,depan,,7.54,124.43,6.29,belakang
"-16,27","-5,83","131,02",atas,,,,,,,,,,,,,,,,,9.4,-125.1,19.36,depan,,6.05,128.31,10.6,belakang
"-13,04","-6,11","129,10",atas,,,,,,,,,,,,,,,,,15.57,-137.37,15.21,depan,,9.04,117.37,20.15,belakang
"-13,65","-6,69","130,66",atas,,,,,,,,,,,,,,,,,7.02,-127.39,2.87,depan,,13.53,118.81,23.48,belakang
"-13,77","-7,69","129,10",atas,,,,,,,,,,,,,,,,,6.75,-122.29,11.11,depan,,12.52,124,20.37,belakang
"-13,34","-7,24","129,47",atas,,,,,,,,,,,,,,,,,5.74,-132.37,3.05,depan,,10.87,117.1,18.5,belakang
"-14,02","-7,63","129,86",atas,,,,,,,,,,,,,,,,,4.67,-128.09,-0.15,depan,,12.09,121.95,12.85,belakang
"-13,68","-7,05","128,79",atas,,,,,,,,,,,,,,,,,10.29,-128.76,8.64,depan,,15.54,123.66,19.05,belakang
"-14,20","-7,11","129,50",atas,,,,,,,,,,,,,,,,,10.05,-132.79,11.88,depan,,20.12,121.44,16.61,belakang
"-13,56","-6,38","129,10",atas,,,,,,,,,,,,,,,,,10.72,-129.44,7.79,depan,,22.08,122.02,17.77,belakang
"-14,90","-6,53","129,04",atas,,,,,,,,,,,,,,,,,6.9,-119.94,9.56,depan,,23.73,118.72,18.53,belakang
"-13,25","-7,48","128,73",atas,,,,,,,,,,,,,,,,,7.57,-130.87,-2.56,depan,,25.04,120.98,18.99,belakang
"-14,35","-4,79","127,91",atas,,,,,,,,,,,,,,,,,7.63,-127.21,-3.85,depan,,24.49,123.85,18.02,belakang
