Gx,Gy,Gz,Label
"-13,19","-8,82","131,11",Atas
"-11,97","-8,58","129,71",Atas
"-13,07","-7,63","129,31",Atas
"-12,43","-8,67","129,25",Atas
"-13,37","-8,37","129,56",Atas
"-13,40","-6,47","128,34",Atas
"-12,40","-7,60","128,58",Atas
"-12,58","-7,36","129,04",Atas
"-12,27","-7,94","129,56",Atas
"-9,95","-10,96","131,08",Atas
"62,20","-24,31","107,21",Atas
"-5,25","-46,11","120,79",Atas
"-12,27","-9,31","130,20",Atas
"-12,85","-8,40","128,67",Atas
"-13,89","-8,40","128,89",Atas
"-9,25","-8,15","129,34",Atas
"-8,06","-11,73","128,40",Atas
"-7,66","-10,08","129,71",Atas
"-7,69","-10,29","129,62",Atas
"-8,82","-9,47","129,50",Atas
"-9,56","-9,95","129,92",Atas
"-9,92","-9,95","128,79",Atas
"-8,61","-10,44","130,08",Atas
"-9,44","-9,44","130,75",Atas
"-10,11","-9,56","129,68",Atas
"-8,12","-9,13","130,84",Atas
"-24,27","-16,61","126,66",Atas
"-2,69","-11,27","136,09",Atas
"-10,78","-9,50","130,26",Atas
"-10,20","-10,23","129,22",Atas
"-10,41","-9,74","129,68",Atas
"-10,32","-11,05","129,86",Atas
"-10,20","-9,40","128,06",Atas
"-16,27","-5,83","131,02",Atas
"-13,04","-6,11","129,10",Atas
"-13,65","-6,69","130,66",Atas
"-13,77","-7,69","129,10",Atas
"-13,34","-7,24","129,47",Atas
"-14,02","-7,63","129,86",Atas
"-13,68","-7,05","128,79",Atas
"-14,20","-7,11","129,50",Atas
"-13,56","-6,38","129,10",Atas
"-14,90","-6,53","129,04",Atas
"-13,25","-7,48","128,73",Atas
"-14,35","-4,79","127,91",Atas
"-14,32","-7,05","129,16",Atas
"-13,25","-6,93","129,34",Atas
"-13,44","-6,23","128,58",Atas
"-12,95","-6,84","130,32",Atas
"-13,80","-7,21","128,92",Atas
"-14,02","-6,81","130,26",Atas
"-12,82","-8,49","130,26",Atas
"-12,61","-6,63","128,92",Atas
"-13,47","-6,96","128,58",Atas
"-12,34","-5,92","130,02",Atas
"-9,89","-10,17","129,71",Atas
"-10,66","-10,26","128,76",Atas
"-10,32","-11,73","127,27",Atas
"-10,47","-9,98","129,28",Atas
"-9,98","-9,80","129,13",Atas
"-9,77","-9,50","129,31",Atas
"-9,62","-10,23","130,35",Atas
"-9,31","-10,50","129,62",Atas
"-11,45","-9,01","130,56",Atas
"-9,86","-9,44","129,86",Atas
"-10,53","-10,14","129,83",Atas
"-9,01","-9,50","129,47",Atas
"-9,53","-9,53","129,47",Atas
"-9,68","-9,92","128,82",Atas
"-11,45","-9,07","129,77",Atas
"-11,88","-9,16","129,80",Atas
"-9,19","-10,05","127,54",Atas
"-10,78","-10,11","130,50",Atas
"-12,43","-9,01","131,15",Atas
