Gx,Gy,Gz,Label
"-120,49","0,82","23,39",Depan
"-122,56","-0,79","21,28",Depan
"-120,03","-5,19","19,15",Depan
"-123,42","0,12","21,56",Depan
"-121,40","1,92","22,78",Depan
"-120,00","-3,66","19,66",Depan
"-119,18","-7,21","15,18",Depan
"-120,79","-11,57","10,38",Depan
"-132,27","4,82","32,18",Depan
"-125,07","-1,01","25,65",Depan
"-122,23","-1,62","21,89",Depan
"-123,79","-9,37","11,69",Depan
"-123,63","-6,14","15,91",Depan
"-121,40","-6,17","18,50",Depan
"-119,11","-8,55","15,11",Depan
"-122,99","-3,79","17,19",Depan
"-122,14","-6,35","18,99",Depan
"-118,66","2,05","22,26",Depan
"-119,76","-5,40","23,42",Depan
"-123,11","-3,60","24,70",Depan
"-119,57","-0,67","22,96",Depan
"-114,78","0,79","27,60",Depan
"-122,87","4,00","24,09",Depan
"-120,37","1,16","23,51",Depan
"-119,69","0,21","17,86",Depan
"-122,32","-2,50","17,50",Depan
"-122,29","-4,37","12,85",Depan
"-123,97","-0,43","20,03",Depan
"-123,48","1,89","23,02",Depan
"-121,56","-2,08","18,05",Depan
"-122,32","6,05","22,20",Depan
"-120,43","6,41","18,87",Depan
"-126,23","1,37","13,44",Depan
"-118,50","2,99","18,63",Depan
"-123,18","4,09","19,18",Depan
"-121,74","6,23","18,26",Depan
"-122,87","5,34","19,45",Depan
"-118,47","3,51","18,93",Depan
"-118,23","2,78","15,57",Depan
"-120,79","4,46","18,69",Depan
"-121,83","6,53","17,80",Depan
"-120,06","3,66","19,94",Depan
"-121,56","4,58","16,40",Depan
"-120,52","6,08","20,46",Depan
"-120,55","4,15","18,05",Depan
"-123,05","9,16","19,36",Depan
"-120,70","6,75","17,44",Depan
"-123,51","6,38","16,98",Depan
"-119,05","8,46","19,24",Depan
"-120,70","4,18","16,06",Depan
"-121,80","7,33","20,52",Depan
"-120,55","4,82","17,83",Depan
"-119,91","5,50","19,27",Depan
"-119,94","4,92","17,68",Depan
"-122,11","2,26","15,39",Depan
"-120,21","5,98","18,17",Depan
"-121,83","5,50","19,33",Depan
"-119,69","1,77","14,90",Depan
"-122,53","0,27","15,54",Depan
"-121,01","3,54","19,18",Depan
"-121,71","4,58","18,17",Depan
"-120,34","1,98","16,64",Depan
"-119,69","0,31","15,91",Depan
"-121,62","1,89","16,70",Depan
"-123,30","0,00","16,00",Depan
"-124,49","-0,89","17,16",Depan
"-121,68","-0,31","15,27",Depan
"-121,40","1,71","16,76",Depan
"-120,61","1,16","16,89",Depan
"-118,05","5,40","19,73",Depan
"-122,35","0,34","14,75",Depan
"-121,62","0,15","16,37",Depan
"-119,88","-1,37","14,93",Depan
"-118,96","3,94","20,85",Depan
"-121,74","0,85","15,02",Depan
"-121,44","5,34","20,92",Depan
"-121,74","3,88","19,24",Depan
"-123,63","4,55","15,94",Depan
"-118,05","3,15","19,02",Depan
"19,97","8,95","128,82",Atas
"7,11","-2,87","127,79",Atas
"6,66","-1,74","127,76",Atas
"10,81","4,43","132,00",Atas
"7,57","2,17","131,60",Atas
"4,12","-4,67","128,46",Atas
